Serie;Codigo_municipio;Nombre;crecimiento_relativo_poblacion_2022;crecimiento_relativo_poblacion_2023;densidad_poblacion_2022;densidad_poblacion_2023;edad_media_total_2022;edad_media_total_2023;grado_envejecimiento_mayores_45_2022;grado_envejecimiento_mayores_45_2023;grado_envejecimiento_mayores_55_2022;grado_envejecimiento_mayores_55_2023;grado_envejecimiento_mayores_65_2022;grado_envejecimiento_mayores_65_2023;grado_envejecimiento_mayores_75_2022;grado_envejecimiento_mayores_75_2023;grado_envejecimiento_mayores_85_2022;grado_envejecimiento_mayores_85_2023;grado_juventud_menores_15_2022;grado_juventud_menores_15_2023;grado_juventud_menores_25_2022;grado_juventud_menores_25_2023;grado_juventud_menores_35_2022;grado_juventud_menores_35_2023;grado_juventud_menores_45_2022;grado_juventud_menores_45_2023
Municipios;0724;Hoyo de Manzanares;1.72;1.74;194.92;198.30;42.07;42.52;48.42;49.48;31.40;32.53;14.87;15.70;6.80;6.99;2.35;2.37;14.99;14.42;27.14;26.67;38.66;38.13;51.58;50.52
Municipios;0730;Humanes de Madrid;0.39;0.36;1003.66;1007.31;37.51;38.03;37.73;39.66;20.39;21.25;10.10;10.61;3.55;3.82;1.01;1.11;20.49;19.40;31.18;31.11;42.36;41.90;62.27;60.34
Municipios;0745;Leganés;-0.30;1.52;4349.64;4415.58;44.77;44.88;51.46;51.96;34.47;34.62;22.52;22.47;11.03;11.50;2.67;2.77;13.93;13.57;23.60;23.77;33.92;34.24;48.54;48.04
Municipios;0758;Loeches;0.89;1.76;202.82;206.38;38.01;38.41;40.89;42.00;20.50;21.03;8.93;9.00;3.62;3.77;1.28;1.23;18.68;17.49;30.37;29.98;41.16;40.64;59.11;58.00
Municipios;0761;Lozoya;0.17;3.50;10.37;10.73;50.63;50.20;63.83;61.51;45.00;45.57;27.33;27.86;12.33;12.88;3.83;4.19;7.00;8.21;14.17;15.46;24.17;25.12;36.17;38.49
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;3.26;1.03;28.33;28.62;44.70;44.43;51.71;52.61;32.30;32.38;19.75;19.35;11.32;11.07;5.21;4.48;14.27;14.53;23.53;24.44;33.47;33.40;48.29;47.39
Municipios;0783;Madarcos;10.53;14.29;7.36;8.41;49.05;49.27;61.90;61.11;38.10;43.06;28.57;27.78;17.46;15.28;4.76;5.56;11.11;9.72;15.87;15.28;30.16;26.39;38.10;38.89
Municipios;0796;Madrid;-0.32;2.24;5400.22;5521.13;44.48;44.35;49.51;49.16;33.84;33.68;20.36;20.18;11.10;10.93;4.11;4.03;12.70;12.43;22.38;22.45;35.75;36.47;50.49;50.84
Municipios;0800;Majadahonda;0.31;0.61;1880.88;1892.26;41.65;42.06;47.20;48.14;30.53;31.40;17.59;18.14;7.98;8.56;2.14;2.21;16.41;15.84;29.27;29.08;39.52;39.31;52.80;51.86
Municipios;0822;Manzanares el Real;0.61;1.26;72.61;73.52;41.14;41.69;47.62;49.29;26.11;27.51;13.10;13.75;6.04;6.26;1.86;1.91;17.12;16.21;27.18;26.84;35.56;35.17;52.38;50.71
Municipios;0838;Meco;1.60;1.66;434.88;442.09;38.22;38.67;41.17;42.32;21.89;23.12;8.89;9.37;3.27;3.37;1.03;1.07;17.82;17.18;30.02;29.66;41.83;41.56;58.83;57.68
Municipios;0843;Mejorada del Campo;0.44;1.50;1324.57;1344.46;40.69;40.94;44.13;44.90;27.38;28.00;13.94;14.57;4.66;4.80;1.49;1.45;15.86;15.34;27.01;27.06;38.37;38.20;55.87;55.10
Municipios;0856;Miraflores de la Sierra;1.81;4.22;118.81;123.83;42.36;42.42;49.11;49.33;29.75;30.24;14.73;14.69;7.07;6.84;1.94;1.96;14.72;14.48;25.44;25.74;35.54;35.71;50.89;50.67
Municipios;0869;Molar (El);1.42;3.65;187.95;194.80;39.72;40.01;42.02;43.00;23.86;24.54;12.20;12.39;5.45;5.49;1.80;1.79;17.38;16.52;27.61;27.46;39.45;39.41;57.98;57.00
Municipios;0875;Molinos (Los);3.41;1.81;247.97;252.45;44.83;45.32;52.33;53.12;36.92;38.06;19.43;20.07;9.76;9.85;3.47;3.35;12.01;11.09;23.47;22.95;35.20;34.99;47.67;46.88
Municipios;0881;Montejo de la Sierra;4.78;1.61;11.58;11.77;51.00;50.74;63.54;63.59;45.04;45.12;27.88;25.86;19.30;17.15;8.58;8.18;7.51;6.86;19.57;18.21;27.08;27.44;36.46;36.41
Municipios;0894;Moraleja de Enmedio;1.63;1.53;173.87;176.53;40.38;40.67;44.09;44.50;27.03;27.21;13.92;14.20;5.57;5.83;2.03;1.98;17.09;16.53;28.25;27.88;39.44;39.03;55.91;55.50
Municipios;0908;Moralzarzal;2.23;1.46;319.17;323.83;41.10;41.62;49.05;49.94;27.18;28.57;13.60;14.33;6.56;6.81;2.06;2.17;16.31;15.76;29.61;29.26;38.02;37.77;50.95;50.06
