Serie;Codigo_municipio;Nombre;afiliados_30a49_2022;afiliados_30a49_2023;afiliados_mayores_50_2022;afiliados_mayores_50_2023;afiliados_menores_18_2022;afiliados_menores_18_2023;afiliados_menores_30_2022;afiliados_menores_30_2023;afiliados_total_2022;afiliados_total_2023;porcentaje_30a49_2022;porcentaje_30a49_2023;porcentaje_mayores_50_2022;porcentaje_mayores_50_2023;porcentaje_menores_30_2022;porcentaje_menores_30_2023
Municipios;1739;Villamanrique de Tajo;130;124;82;80;0;0;33;39;245;243;53.06;51.03;33.47;32.92;13.47;16.05
Municipios;1744;Villamanta;479;492;298;334;0;0;157;164;934;990;51.28;49.70;31.91;33.74;16.81;16.57
Municipios;1757;Villamantilla;302;291;187;224;0;0;62;63;551;578;54.81;50.35;33.94;38.75;11.25;10.90
Municipios;1782;Villanueva de Perales;297;305;236;252;0;1;88;107;621;664;47.83;45.93;38.00;37.95;14.17;16.11
Municipios;1760;Villanueva de la Cañada;4270;4284;3277;3460;1;0;1416;1514;8963;9258;47.64;46.27;36.56;37.37;15.80;16.35
Municipios;1776;Villanueva del Pardillo;3856;3750;2700;3036;0;0;993;1097;7549;7883;51.08;47.57;35.77;38.51;13.15;13.92
Municipios;1795;Villar del Olmo;516;530;394;418;0;0;151;158;1061;1106;48.63;47.92;37.13;37.79;14.23;14.29
Municipios;1809;Villarejo de Salvanés;1595;1615;853;904;2;0;482;475;2930;2994;54.44;53.94;29.11;30.19;16.45;15.87
Municipios;1816;Villaviciosa de Odón;5584;5540;4198;4384;0;1;1668;1769;11450;11693;48.77;47.38;36.66;37.49;14.57;15.13
Municipios;1821;Villavieja del Lozoya;31;31;42;48;0;1;17;21;90;100;34.44;31.00;46.67;48.00;18.89;21.00
Municipios;1837;Zarzalejo;292;280;224;252;0;0;64;76;580;608;50.34;46.05;38.62;41.45;11.03;12.50
