Codigo_Valor;Nombre;Valor;Year;Indicador;lau_id
2.11-2023-280318;Cadalso de los Vidrios;47.84;2023;2.11;280318
2.11-2023-280323;Camarma de Esteruelas;35.15;2023;2.11;280323
2.11-2023-280339;Campo Real;61.75;2023;2.11;280339
2.11-2023-280344;Canencia;54.18;2023;2.11;280344
2.11-2023-280357;Carabaña;47.64;2023;2.11;280357
2.11-2023-280360;Casarrubuelos;5.33;2023;2.11;280360
2.11-2023-280376;Cenicientos;68.25;2023;2.11;280376
2.11-2023-280382;Cercedilla;40.82;2023;2.11;280382
2.11-2023-280395;Cervera de Buitrago;11.54;2023;2.11;280395
2.11-2023-280513;Chapinería;25.55;2023;2.11;280513
2.11-2023-280528;Chinchón;115.79;2023;2.11;280528
2.11-2023-280409;Ciempozuelos;49.41;2023;2.11;280409
2.11-2023-280416;Cobeña;20.79;2023;2.11;280416
2.11-2023-280468;Collado Mediano;22.19;2023;2.11;280468
2.11-2023-280474;Collado Villalba;25.19;2023;2.11;280474
2.11-2023-280455;Colmenar Viejo;182.88;2023;2.11;280455
2.11-2023-280437;Colmenar de Oreja;126.33;2023;2.11;280437
2.11-2023-280421;Colmenar del Arroyo;49.31;2023;2.11;280421
2.11-2023-280442;Colmenarejo;31.49;2023;2.11;280442
2.11-2023-280480;Corpa;25.94;2023;2.11;280480
2.11-2023-280493;Coslada;12.02;2023;2.11;280493
2.11-2023-280506;Cubas de la Sagra;12.89;2023;2.11;280506
2.11-2023-280534;Daganzo de Arriba;43.4;2023;2.11;280534
2.11-2023-280549;Escorial (El);68.81;2023;2.11;280549
2.11-2023-280552;Estremera;79.13;2023;2.11;280552
2.11-2023-280565;Fresnedillas de la Oliva;28.34;2023;2.11;280565
2.11-2023-280571;Fresno de Torote;31.75;2023;2.11;280571
2.11-2023-280587;Fuenlabrada;39.18;2023;2.11;280587
2.11-2023-280590;Fuente el Saz de Jarama;33.15;2023;2.11;280590
2.11-2023-280604;Fuentidueña de Tajo;60.18;2023;2.11;280604
2.11-2023-280611;Galapagar;65.2;2023;2.11;280611
2.11-2023-280626;Garganta de los Montes;40.33;2023;2.11;280626
2.11-2023-280632;Gargantilla del Lozoya y Pinilla de Buitrago;24.18;2023;2.11;280632
2.11-2023-280647;Gascones;20.07;2023;2.11;280647
2.11-2023-280650;Getafe;78.59;2023;2.11;280650
2.11-2023-280663;Griñón;17.09;2023;2.11;280663
2.11-2023-280679;Guadalix de la Sierra;60.26;2023;2.11;280679
2.11-2023-280685;Guadarrama;57.18;2023;2.11;280685
2.11-2023-280698;Hiruela (La);17.16;2023;2.11;280698
2.11-2023-280702;Horcajo de la Sierra-Aoslos;21.2;2023;2.11;280702
2.11-2023-280719;Horcajuelo de la Sierra;23.83;2023;2.11;280719
2.11-2023-280724;Hoyo de Manzanares;45.23;2023;2.11;280724
