Serie;Codigo_municipio;Nombre;paro_25_44_2022;paro_25_44_2023;paro_mayores_25_2022;paro_mayores_25_2023;paro_mayores_45_2022;paro_mayores_45_2023;paro_menores_25_2022;paro_menores_25_2023;paro_100_habitantes_2022;paro_100_habitantes_2023;paro_registrado_total_2022;paro_registrado_total_2023;porcentaje_paro_mayores_25_2022;porcentaje_paro_mayores_25_2023;porcentaje_paro_menores_25_2022;porcentaje_paro_menores_25_2023;variacion_paro_registrado_2022;variacion_paro_registrado_2023
Municipios;0856;Miraflores de la Sierra;140;107;366;332;226;225;15;24;5.68;5.13;381;356;96.06;93.26;3.94;6.74;-15.14;-6.56
Municipios;0869;Molar (El);184;182;462;448;278;266;30;37;5.21;4.97;492;485;93.90;92.37;6.10;7.63;-20.39;-1.42
Municipios;0875;Molinos (Los);86;66;205;193;119;127;19;10;4.77;4.24;224;203;91.52;95.07;8.48;4.93;-20.85;-9.38
Municipios;0881;Montejo de la Sierra;5;6;8;11;3;5;3;0;2.96;2.89;11;11;72.73;100.00;27.27;0.00;0.00;0.00
Municipios;0894;Moraleja de Enmedio;102;90;235;225;133;135;29;19;4.92;4.47;264;244;89.02;92.21;10.98;7.79;-23.03;-7.58
Municipios;0908;Moralzarzal;157;130;542;488;385;358;38;48;4.17;3.79;580;536;93.45;91.04;6.55;8.96;-22.36;-7.59
Municipios;0915;Morata de Tajuña;204;176;504;441;300;265;39;39;6.82;5.91;543;480;92.82;91.88;7.18;8.13;-18.96;-11.60
Municipios;0920;Móstoles;4856;4185;11074;10022;6218;5837;897;838;5.73;5.14;11971;10860;92.51;92.28;7.49;7.72;-21.85;-9.28
Municipios;0936;Navacerrada;41;39;117;128;76;89;14;5;4.07;4.05;131;133;89.31;96.24;10.69;3.76;-26.82;1.53
Municipios;0941;Navalafuente;36;38;94;97;58;59;6;9;6.35;6.48;100;106;94.00;91.51;6.00;8.49;-27.54;6.00
Municipios;0954;Navalagamella;66;62;169;170;103;108;5;9;6.19;6.00;174;179;97.13;94.97;2.87;5.03;-7.94;2.87
Municipios;0967;Navalcarnero;772;637;1667;1413;895;776;169;138;5.85;4.85;1836;1551;90.80;91.10;9.20;8.90;-15.00;-15.52
Municipios;0973;Navarredonda y San Mamés;2;2;6;6;4;4;0;0;4.35;4.00;6;6;100.00;100.00;0.00;0.00;20.00;0.00
Municipios;0992;Navas del Rey;68;60;196;167;128;107;14;18;6.70;5.70;210;185;93.33;90.27;6.67;9.73;-19.54;-11.90
Municipios;1006;Nuevo Baztán;124;129;353;368;229;239;26;30;5.61;5.65;379;398;93.14;92.46;6.86;7.54;-26.83;5.01
Municipios;1013;Olmeda de las Fuentes;3;7;12;19;9;12;0;1;3.19;4.98;12;20;100.00;95.00;0.00;5.00;-14.29;66.67
Municipios;1028;Orusco de Tajuña;35;31;93;83;58;52;8;12;7.62;6.71;101;95;92.08;87.37;7.92;12.63;-17.21;-5.94
Municipios;1049;Paracuellos de Jarama;322;267;827;760;505;493;39;53;3.27;3.01;866;813;95.50;93.48;4.50;6.52;-19.74;-6.12
Municipios;1065;Parla;4095;3567;8465;7718;4370;4151;732;662;7.04;6.30;9197;8380;92.04;92.10;7.96;7.90;-20.75;-8.88
Municipios;1071;Patones;7;4;14;20;7;16;2;1;2.99;3.71;16;21;87.50;95.24;12.50;4.76;-36.00;31.25
Municipios;1087;Pedrezuela;119;114;283;264;164;150;13;12;4.69;4.31;296;276;95.61;95.65;4.39;4.35;-20.43;-6.76
Municipios;1090;Pelayos de la Presa;96;76;238;202;142;126;23;11;9.10;7.14;261;213;91.19;94.84;8.81;5.16;-20.67;-18.39
Municipios;1104;Perales de Tajuña;103;93;268;237;165;144;17;16;9.14;7.97;285;253;94.04;93.68;5.96;6.32;-10.38;-11.23
Municipios;1111;Pezuela de las Torres;9;15;33;51;24;36;4;3;3.97;5.53;37;54;89.19;94.44;10.81;5.56;-35.09;45.95
Municipios;1126;Pinilla del Valle;4;4;11;9;7;5;0;1;5.56;4.90;11;10;100.00;90.00;0.00;10.00;-8.33;-9.09
