Mercado de trabajo.Gestión del empleo.Paro registrado.Paro registrado por edad y sexo.Total. Porcentaje de parados registrados en las oficinas de empleo de 25 años y más. Unidad: Número. Fuente: Estadística de Empleo. Ministerio de Trabajo y Economía Social.;
Serie;;;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Municipios;0856;Miraflores de la Sierra;91.30;88.78;93.87;88.64;90.35;92.02;91.09;93.15;93.30;92.92;94.13;94.91;95.35;93.65;93.60;93.76;96.06;93.26;
Municipios;0869;Molar (El);88.13;90.40;92.98;87.92;86.41;90.48;90.91;92.63;93.06;93.85;94.11;94.30;95.23;95.51;94.27;95.47;93.90;92.37;
Municipios;0875;Molinos (Los);84.43;95.33;88.65;90.43;89.34;86.76;86.86;91.40;90.27;92.31;90.06;88.93;92.37;91.16;92.80;92.23;91.52;95.07;
Municipios;0881;Montejo de la Sierra;66.67;80.00;85.71;80.00;100.00;100.00;100.00;92.86;94.74;94.12;76.47;86.67;100.00;87.50;78.95;90.91;72.73;100.00;
Municipios;0894;Moraleja de Enmedio;82.24;82.88;80.91;79.67;81.70;86.32;85.30;87.10;89.84;90.10;91.97;90.77;89.70;91.22;91.35;90.38;89.02;92.21;
Municipios;0908;Moralzarzal;92.38;91.45;89.51;89.83;90.25;91.29;92.15;94.15;93.08;92.59;95.11;93.18;93.43;93.59;90.56;89.29;93.45;91.04;
Municipios;0915;Morata de Tajuña;86.81;84.62;85.71;83.25;85.48;82.80;85.80;86.35;88.89;88.54;90.80;90.65;92.20;89.67;90.63;91.64;92.82;91.88;
Municipios;0920;Móstoles;85.74;86.53;86.30;85.01;86.86;87.72;88.42;90.06;90.93;91.44;92.19;92.25;92.20;92.09;92.20;90.77;92.51;92.28;
Municipios;0936;Navacerrada;89.69;89.62;89.74;93.43;89.54;90.91;88.89;93.56;95.57;95.29;96.73;91.73;96.04;94.92;94.12;94.41;89.31;96.24;
Municipios;0941;Navalafuente;91.18;92.31;90.16;91.06;89.93;92.13;86.34;90.51;91.37;91.94;93.75;92.24;90.91;96.19;95.50;91.30;94.00;91.51;
Municipios;0954;Navalagamella;96.43;91.30;96.55;88.17;88.00;84.75;88.80;91.80;89.93;90.69;91.71;93.75;92.18;92.73;92.78;96.30;97.13;94.97;
Municipios;0967;Navalcarnero;81.15;85.29;84.70;82.78;86.29;87.14;87.77;88.47;89.82;89.38;91.23;91.48;91.04;91.22;92.00;90.46;90.80;91.10;
Municipios;0973;Navarredonda y San Mamés;100.00;100.00;100.00;100.00;66.67;62.50;85.71;80.00;100.00;90.00;83.33;100.00;100.00;100.00;100.00;100.00;100.00;100.00;
Municipios;0992;Navas del Rey;86.07;88.50;83.94;84.39;84.21;85.67;87.09;87.24;88.92;85.52;92.24;85.82;87.25;87.84;88.05;88.12;93.33;90.27;
Municipios;1006;Nuevo Baztán;88.15;82.91;85.98;83.53;88.06;88.91;89.91;91.21;91.24;93.76;94.53;93.54;92.15;93.14;89.41;90.54;93.14;92.46;
Municipios;1013;Olmeda de las Fuentes;88.89;83.33;100.00;100.00;94.74;91.67;90.00;95.83;100.00;94.44;94.44;100.00;93.75;100.00;87.50;92.86;100.00;95.00;
Municipios;1028;Orusco de Tajuña;81.13;75.93;86.27;85.56;84.96;88.24;86.06;88.07;88.75;89.15;92.98;90.10;94.85;92.93;93.00;93.44;92.08;87.37;
Municipios;1049;Paracuellos de Jarama;88.58;88.94;89.60;89.26;91.03;92.79;91.96;94.65;95.77;96.41;95.94;94.55;94.81;94.44;94.81;93.79;95.50;93.48;
Municipios;1065;Parla;83.51;84.33;84.82;85.76;87.01;87.89;89.10;90.41;90.80;91.18;91.88;92.56;92.03;90.49;91.47;90.62;92.04;92.10;
Municipios;1071;Patones;76.19;92.86;86.67;80.00;96.00;100.00;90.32;100.00;90.48;86.96;91.18;91.67;95.45;100.00;87.50;92.00;87.50;95.24;
Municipios;1087;Pedrezuela;95.89;88.46;90.63;88.98;90.21;90.38;91.91;92.98;92.99;95.01;94.31;94.78;93.77;94.06;93.81;94.09;95.61;95.65;
Municipios;1090;Pelayos de la Presa;88.46;81.42;86.75;88.99;84.28;87.27;89.47;91.01;91.25;92.78;94.76;91.78;92.39;89.20;88.48;87.54;91.19;94.84;
