Población.Otros datos de población.Indicadores de población. Crecimiento relativo de la población. Unidad: Porcentaje. Fuente: Dirección General de Economía. Comunidad de Madrid.;
Serie;;;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Municipios;0992;Navas del Rey;10.10;7.12;5.40;5.00;-2.51;3.80;2.85;3.16;2.80;-0.60;0.68;-1.64;-0.45;1.18;3.46;2.47;3.51;1.64;3.24;2.35;
Municipios;1006;Nuevo Baztán;8.77;12.93;8.50;4.50;2.55;4.86;0.93;1.91;0.14;-0.89;0.96;-5.40;2.33;-1.31;1.21;1.03;1.98;2.84;2.73;1.96;
Municipios;1013;Olmeda de las Fuentes;23.33;4.32;6.20;3.40;21.70;9.69;4.95;3.70;15.91;-5.32;0.59;-1.76;1.20;-3.55;1.84;4.22;0.58;-0.57;3.18;5.32;
Municipios;1028;Orusco de Tajuña;5.05;2.48;5.00;37.80;5.80;3.25;7.74;0.08;8.26;0.23;0.62;-1.91;-1.79;-2.78;-0.57;-1.31;3.49;4.10;-0.31;2.71;
Municipios;1049;Paracuellos de Jarama;6.22;2.05;4.60;0.20;13.00;33.27;25.43;13.19;13.95;7.57;6.27;2.79;2.65;3.64;3.47;2.58;3.05;2.56;1.23;0.82;
Municipios;1065;Parla;2.76;5.01;4.70;4.50;3.72;9.55;7.00;3.95;1.51;1.81;1.15;-0.25;-0.21;-0.32;0.99;1.87;1.46;2.58;-1.34;-0.84;
Municipios;1071;Patones;5.06;0.27;14.70;2.60;17.46;-0.19;-1.93;-2.56;8.50;-2.80;-3.65;1.00;3.35;2.48;2.98;-5.42;3.44;-0.37;-2.78;2.29;
Municipios;1087;Pedrezuela;14.47;13.08;12.60;11.30;15.69;14.67;10.52;6.11;4.22;7.47;1.24;0.73;2.97;3.51;2.88;2.37;2.54;4.38;1.24;1.30;
Municipios;1090;Pelayos de la Presa;15.34;9.50;2.90;6.50;2.72;6.52;4.96;0.28;-1.26;2.39;-1.36;-1.38;-1.88;0.65;-0.12;0.28;4.89;3.08;5.64;1.41;
Municipios;1104;Perales de Tajuña;6.96;5.03;4.80;-0.10;7.01;3.63;4.38;1.26;-0.83;0.24;3.93;-1.51;-2.51;-2.51;0.64;0.50;3.67;1.87;2.31;1.90;
Municipios;1111;Pezuela de las Torres;5.67;-2.19;4.90;26.40;14.11;10.89;0.12;-1.57;3.57;-5.46;0.25;-0.38;-1.51;1.28;2.90;0.61;2.56;2.97;6.92;0.43;
Municipios;1126;Pinilla del Valle;16.33;-3.51;-7.30;33.30;-4.90;-4.64;5.95;6.63;1.91;0.94;-2.33;-2.38;-2.44;-4.00;-3.65;1.08;2.14;-0.52;3.16;1.02;
Municipios;1132;Pinto;5.38;5.24;6.70;5.00;3.66;3.84;2.49;2.35;2.51;2.45;0.23;1.54;2.24;1.77;1.86;2.18;1.91;1.52;0.40;1.03;
Municipios;1147;Piñuécar-Gandullas;2.23;1.64;-2.20;1.10;0.00;4.89;4.66;-12.87;-1.70;-2.89;4.76;-2.27;1.74;5.71;-1.08;-6.56;8.19;-3.24;3.35;-0.54;
Municipios;1150;Pozuelo de Alarcón;1.99;3.33;4.00;1.90;0.31;1.93;1.31;0.46;0.14;1.12;0.75;-0.13;0.23;0.51;0.72;0.66;0.29;0.86;-0.04;0.68;
Municipios;1163;Pozuelo del Rey;15.53;15.02;11.30;2.20;35.05;44.52;23.99;11.74;10.28;3.24;3.24;3.80;-1.92;0.19;2.42;1.91;2.41;2.18;1.54;-1.01;
Municipios;1179;Prádena del Rincón;0.96;4.76;-4.50;1.90;2.80;3.64;7.02;4.10;1.57;-1.55;-0.79;4.76;-7.58;9.84;-1.49;-11.36;0.00;6.84;19.20;-1.34;
Municipios;1185;Puebla de la Sierra;-5.45;0.00;0.00;-1.00;5.83;-1.83;2.80;0.91;-8.11;-2.94;-3.03;-13.54;-12.05;-9.59;-7.58;-1.64;8.33;12.31;2.74;12.00;
Municipios;9020;Puentes Viejas;-1.88;2.40;4.70;2.00;9.65;12.40;10.85;4.17;-0.62;3.41;-2.85;-4.32;3.87;-2.64;0.80;1.58;5.76;2.95;2.86;-3.06;
Municipios;1198;Quijorna;16.62;18.02;11.90;5.30;9.23;13.67;3.96;1.42;5.61;3.99;1.92;0.97;-0.78;1.35;1.33;2.29;2.44;2.97;1.47;2.50;
